"var"	"estimate"	"conf.low"	"conf.high"	"p.value"	"Group"
"N6-Acetyl-L-lysine"	546201.36782353	3986.70214750647	1088416.03349955	"0.0110726078171952"	"Control"
"Fumaric acid"	526907.99717647	-7352.80992283894	1061168.80427578	"0.0457595309732071"	"Control"
"Adenosine"	510383.857735294	86427.7761208422	934339.939349746	"0.0327135201739003"	"Control"
"Lyciumamide N"	468038.819088235	153752.185239064	782325.452937406	"0.000683366812794726"	"Control"
"Mevalonic acid"	442527.168735294	-70523.6093015759	955577.946772164	"0.0359142644007336"	"Control"
"2'-Deoxyadenosine-5'-monophosphate"	356348.723382353	-14405.7578509554	727103.204615662	"0.040587952509446"	"Control"
"Hexadecylsphingosine"	289079.309352941	-103034.888172738	681193.506878621	"0.0471346611765864"	"Control"
"2-Hydroxyisocaproic acid"	248383.264911765	82811.2922725653	413955.237550964	"0.00329960558897782"	"Control"
"Borassoside D"	236148.395588235	32699.3306271186	439597.460549352	"0.022958078398137"	"Control"
"Prosapogenin D3"	221406.065	24590.8475227695	418221.282477231	"0.0317016168274278"	"Control"
"Coniferaldehyde"	151801.664264706	22315.7290728518	281287.59945656	"0.0207763931284584"	"Control"
"\"D-Arabinono-1,4-lactone\""	72299.0805882353	-3529.78922712889	148127.950403599	"0.0381912064445395"	"Control"
"\"3,4-Dimethoxybenzamide\""	69093.2334705882	7644.75075377105	130541.716187405	"0.0261699411798132"	"Control"
"9-Oxononanoic acid"	45580.7798529412	9448.03105207644	81713.5286538059	"0.0307163050616892"	"Control"
"\"Pinoresinol-4,4'-O-di-O-glucoside\""	38758.9035882353	4864.61144268354	72653.195733787	"0.0270302698429197"	"Control"
"N-Acetyl-L-leucine"	22128.5425	4295.52109284326	39961.5639071567	"0.0348192897470409"	"Control"
"Olivil-4'-O-glucoside"	22080.1863235294	5031.33314431559	39129.0395027432	"0.022958078398137"	"Control"
"\"Tricin (5,7,4'-Trihydroxy-3',5'-dimethoxyflavone)\""	13852.3208235294	-17669.0194040405	45373.6610510993	"0.0237276187763564"	"Control"
"3-O-Feruloylquinic acid-O-glucoside"	12884.7100588235	2216.33798083796	23553.0821368091	"0.0110726078171952"	"Control"
"Tetradecanedioic acid"	9922.78423529412	-866.777486715445	20712.3459573037	"0.0279145521562619"	"Control"
"\"13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid\""	9689.45841176471	-2350.72972451198	21729.6465480414	"0.0297570451704086"	"Control"
"Oleamide (9-Octadecenamide)"	-1662.50841176471	-5090.27272875551	1765.2559052261	"0.0102911957058282"	"Disease"
"\"9,10-Epoxyoctadecanoic Acid\""	-2868.70952941178	-52347.6003104554	46610.1812516319	"0.00762840096010787"	"Disease"
"\"(3,4-Dimustard acyl)-fructosyl-α-D-(6-mustard acyl)glucoside\""	-16748.9243235294	-32608.5433963375	-889.30525072133	"0.000323566823575878"	"Disease"
"Pennogenin 3-O-beta-chacotrioside"	-28694.3641470588	-46019.8209135986	-11368.907380519	"0.000110984256233924"	"Disease"
"Funkioside_C"	-30103.5740882353	-62490.5252608902	2283.3770844196	"0.0158087444012581"	"Disease"
"Isorhamnetin-3-O-(2''-O-xylosyl)glucoside"	-48778.7969705882	-96201.7414764605	-1355.85246471594	"0.0237276187763564"	"Disease"
"6-Methyldiosgenin 3-O-glucopyranoside"	-80643.8133529412	-167149.694798061	5862.06809217876	"0.00991895292222815"	"Disease"
"4-Pyridoxic acid"	-96461.0281470588	-193291.786187725	369.729893607583	"0.00496521263158993"	"Disease"
"Genistein-7-O-Glucoside (Genistin)"	-117377.221235294	-205566.033039113	-29188.4094314754	"0.0102911957058282"	"Disease"
"4-Hydroxybenzoic acid"	-147274.249970589	-1830812.58659206	1536264.08665088	"0.0253330571529404"	"Disease"
"Baimaside"	-172007.912205882	-420741.935313884	76726.1109021191	"0.0471346611765864"	"Disease"
"\"Quercetin3,7-diglucoside\""	-184495.444323529	-427313.782043191	58322.8933961323	"0.013736858120833"	"Disease"
"3-Hydroxybutyric acid"	-199928.902794118	-344231.53552367	-55626.2700645652	"0.0123420943908454"	"Disease"
"\"2-(3,4-dihydroxyphenyl)ethanediol 1-O-β-D-glucopyranoside\""	-217057.928764706	-362361.395044652	-71754.4624847603	"0.00290880205386276"	"Disease"
"Taxifolin-3'-O-glucoside"	-270428.712176471	-556619.304351326	15761.8799983851	"0.00358568306136004"	"Disease"
"Isorhamnetin-3-O-(6''-acetylglucoside)"	-274365.144117647	-553499.894546694	4769.60631139937	"0.0317016168274278"	"Disease"
"Myricetin-3-O-rutinoside"	-280712.560941176	-461220.578191226	-100204.543691127	"0.000789296815827767"	"Disease"
"3-O-Methylgallic acid"	-292837.885911765	-489057.519745721	-96618.2520778084	"0.00290880205386276"	"Disease"
"Sceptrumgenin 3-O-Glucoside-Rhamnoside-Rhamnoside-Glucoside"	-295105.200058824	-516393.960323824	-73816.4397938235	"0.00039672788218904"	"Disease"
"Leptine II"	-300093.54882353	-688941.647339664	88754.549692605	"0.0027881012850664"	"Disease"
"Prosapogenin A"	-302384.374882353	-504805.580176471	-99963.1695882347	"0.00120344716936217"	"Disease"
"\"(25R)-spirost-5-en-3β,14α-diol-3-0-β-D-glucopyranosyl-(1_2)-[β-D-glucopyranosyl-(1_3)]-β-D-galactopyranoside-(1_4)-β-D-galactopyranoside\""	-308756.663294118	-684043.323355918	66529.9967676825	"0.0471346611765864"	"Disease"
"Diosgenin glucoside"	-381862.561058824	-602523.775481299	-161201.346636348	"0.000953888131839903"	"Disease"
"Apigenin-7-glucuronide"	-417764.098882353	-681824.373630564	-153703.824134142	"0.00329960558897782"	"Disease"
"5a-Tomatidan-3-one"	-439293.057117647	-1086223.49653358	207637.382298289	"0.0123420943908454"	"Disease"
"Solasuaveoline"	-440208.424441176	-797949.435853304	-82467.4130290491	"0.0261699411798132"	"Disease"
"Solasodine"	-577729.239882353	-943609.511321603	-211848.968443103	"0.000191549967344503"	"Disease"
"Cimidahurinine"	-591551.708	-1101986.50231947	-81116.9136805268	"0.0200899096680479"	"Disease"
"Vanillic acid"	-606265.310941177	-2395527.78203966	1182997.16015731	"0.0393743153197091"	"Disease"
"LysoPA 16:0"	-675102.999176471	-1282776.90959299	-67429.0887599466	"0.024519115100815"	"Disease"
"Tomatidenol (Dehydrotomatidine)"	-736142.081205882	-1666783.24186097	194499.079449202	"0.00792397077071731"	"Disease"
"\"26-O-Glu-3β,26-dihydroxy-5-cholesten-16,22-dioxo-3-O-α-rha(1_2)-glucoside\""	-781844.452058823	-1966544.10717285	402855.203055202	"0.0207763931284584"	"Disease"
"Histamine"	-881967.460294118	-1889471.74973266	125536.829144425	"0.000910039105281907"	"Disease"
"Capsianoside I"	-1025739.97279412	-1678965.498087	-372514.447501234	"0.00138034568660481"	"Disease"
"Indioside H"	-1050320.281	-1976312.15106481	-124328.410935191	"0.0018884170278082"	"Disease"
"2'-Deoxyguanosine"	-1164695.65220588	-2452378.1695117	122986.865099932	"0.0297570451704086"	"Disease"
"Cinnamoyltyramine"	-1450372.48773529	-3198018.51032872	297273.534858136	"0.0142313280216191"	"Disease"
"Benzyl-(2''-O-xylosyl)glucoside"	-1674034.17938235	-4410730.5662001	1062662.2074354	"0.0393743153197091"	"Disease"
"Solasodine-3-O-glucoside"	-1745295.03938235	-2612925.05512606	-877665.023638641	"0.000138423997572401"	"Disease"
"Isorhamnetin-3-O-sophoroside"	-2175281.12979412	-5485371.32223399	1134809.06264576	"0.0348192897470409"	"Disease"
"N-Coumaroyltyramine"	-2183973.88664706	-4790682.39093557	422734.617641452	"0.0158087444012581"	"Disease"
"Caffeoyl-dihydrocaffeoyl spermidine"	-2210858.47576471	-4816019.353301	394302.401771585	"0.0253330571529404"	"Disease"
"Kaempferol-3-O-glucoside (Astragalin)"	-2294706.65632353	-5286779.27871754	697365.966070478	"0.00792397077071731"	"Disease"
"Luteolin-4'-O-glucoside"	-3060259.02805882	-5664654.25410647	-455863.802011176	"0.00215386320269109"	"Disease"
"Chrysoeriol-5-O-glucoside"	-3093652.3795	-6824983.46976795	637678.710767952	"0.0237276187763564"	"Disease"
"Isohyperoside"	-3384976.78882353	-8235238.51922035	1465284.94157329	"0.0163672064385063"	"Disease"
"Isoquercetin"	-3681266.75994118	-8686494.95461791	1323961.43473556	"0.0317016168274278"	"Disease"
"5-O-Caffeoylshikimic acid"	-3907464.85929412	-10248349.1269096	2433419.40832135	"0.0327135201739003"	"Disease"
"Kaempferol-3-O-galactoside (Trifolin)"	-4035541.74267647	-7321033.68030041	-750049.805052531	"0.00920977413991558"	"Disease"
"2R-Hydroxyoctadecanoic Acid"	-4139996.87664706	-7775853.16481009	-504140.588484029	"0.0214829389808674"	"Disease"
"Citric Acid"	-4228470.71911765	-7908025.95806127	-548915.480174023	"0.0214829389808674"	"Disease"
"Uridine 5'-monophosphate disodium salt"	-4230223.95588235	-7637886.63586183	-822561.275902872	"0.00654122692705704"	"Disease"
"Solasonine"	-4580964.57941177	-7686107.05655896	-1475822.10226457	"0.00109725018702967"	"Disease"
"Quercetin-7-O-glucoside"	-5124319.04752941	-11062499.2167999	813861.121741031	"0.013736858120833"	"Disease"
"Daphnetin"	-5303768.01138235	-9785520.43677101	-822015.585993694	"0.04441789522903"	"Disease"
"\"N1__affeoyl,N3-dihydrocaffeoylspermidine\""	-5642428.73379412	-10838678.0050534	-446179.462534879	"0.040587952509446"	"Disease"
"Solasodine 3-O-β-D-glucopyranoside"	-6189236.02047059	-9316104.72713509	-3062367.31380609	"0.000191549967344503"	"Disease"
"Nepetin-7-O-glucoside"	-6935849.58711765	-12878011.1933544	-993687.980880905	"0.0119054898666681"	"Disease"
"α-Solanine"	-8051445.39891176	-13547384.1011165	-2555506.69670701	"0.000509509025534809"	"Disease"
"Isochlorogenic acid A"	-8374622.3845	-20130109.2026021	3380864.43360213	"0.0418327016921802"	"Disease"
"6-Hydroxyluteolin 5-glucoside"	-8536699.97285294	-17498501.4973822	425101.551676299	"0.0127926142040558"	"Disease"
"Quercetin-3-O-glucoside (Isoquercitrin)"	-9944862.12555882	-20694727.9050885	805003.65397088	"0.00955858493017509"	"Disease"
"Dehydrodemissine"	-18485544.3308824	-38747142.6657397	1776054.003975	"0.0169426740858376"	"Disease"
"Cryptochlorogenic acid (4-O-Caffeoylquinic acid)"	-21967144.7031176	-65232547.2226038	21298257.8163685	"0.0471346611765864"	"Disease"
"3-O-p-Coumaroylquinic acid"	-22735437.3878824	-44226468.1511758	-1244406.6245889	"0.0307163050616892"	"Disease"
